workerId	condition	nballs	nbins	binint	binx	binprob	sumTo100	dist_vals	task
obpqmvnhinp6zoswvsosf9a4isyvzrv8j82n19xpgyyrgrpb9	rd_np		10	50	NA	"0,0,0,15,35,35,15,0,0,0"	1	175_175_175_225_225_225_225_225_225_225_275_275_275_275_275_275_275_325_325_325	recall
l08e0klk4xco3ox27rddyrpb9t8nl68cpdybebwvob0f11yvi	rd_np		10	50	NA	"0,10,20,10,10,15,5,10,15,5"	1	75_75_125_125_125_125_175_175_225_225_275_275_275_325_375_375_425_425_425_475	recall
urrn8zm1q6biw60xcdxu8r529cffrbxvemmtfbrzo18ic9dx6r	rd_np		10	50	NA	"0,0,0,5,45,45,5,0,0,0"	1	175_225_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_275_325	recall
va8jw86cx3exurvf0bmlsortrcqyc9wypb93md624y22o6r	rd_np		10	50	NA	"0,0,0,5,45,45,5,0,0,0"	1	175_225_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_275_325	recall
rixaulk76fge7fzbv6bm4pldilwdea6xrbe52foj9tls2oi529	rd_np		10	50	NA	"0,0,0,5,45,45,5,0,0,0"	1	175_225_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_275_325	recall
bq67g79prssafvkz2nb8x5hfr9s2p2u9u5f8zivczjh0n3ik9	rd_np		10	50	NA	"0,0,5,45,45,5,0,0,0,0"	1	125_175_175_175_175_175_175_175_175_175_225_225_225_225_225_225_225_225_225_275	recall
6ynvxvy1appo2j03u105qgds4ilj5jkmf9gan7vvwr2yp4rhpvi	rd_np		10	50	NA	"0,0,35,20,0,20,0,25,0,0"	1	125_125_125_125_125_125_125_175_175_175_175_275_275_275_275_375_375_375_375_375	recall
xyjzuwwbxssl73i0klmwvcxrgfh5wx35pk5kzede7l9emte29	rd_np		10	50	NA	"0,5,5,10,30,30,10,5,5,0"	1	75_125_175_175_225_225_225_225_225_225_275_275_275_275_275_275_325_325_375_425	recall
g8umqsfz2opmmjfjqqzq1714iuw0zuv5yo1x6e6k2qvnqgds4i	rd_np		10	50	NA	"0,0,0,0,0,50,50,0,0,0"	1	275_275_275_275_275_275_275_275_275_275_325_325_325_325_325_325_325_325_325_325	recall
26xh3rxiz16futt401oyh3q5miyzm5qzrfgujj58xlda62yb9	rd_np		10	50	NA	"0,0,0,10,40,40,10,0,0,0"	1	175_175_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_325_325	recall
6lg06wf4fuez4xtpkymzvkj4i9ypaehc174kv6r0fair418aor	rd_np		10	50	NA	"0,0,0,0,5,45,45,5,0,0"	1	225_275_275_275_275_275_275_275_275_275_325_325_325_325_325_325_325_325_325_375	recall
oha2gi0uufars4lpat8ykqpvi6ofv6aabso6wpxfj1i9mivbo6r	rd_np		10	50	NA	"0,0,5,10,35,35,10,5,0,0"	1	125_175_175_225_225_225_225_225_225_225_275_275_275_275_275_275_275_325_325_375	recall
q209rfm5nr7ls1rsig2satt90xppgykme6dhh5uzr9j8c40a4i	rd_np		10	50	NA	"0,0,0,15,35,35,15,0,0,0"	1	175_175_175_225_225_225_225_225_225_225_275_275_275_275_275_275_275_325_325_325	recall
kdpimqyoa6w2f37pwnfa5g66reyh02w3baah5nr9onpfzi4fgvi	rd_np		10	50	NA	"0,0,0,0,10,40,35,15,0,0"	1	225_225_275_275_275_275_275_275_275_275_325_325_325_325_325_325_325_375_375_375	recall
6gc4sdy8cha8smq0n57txrbe29sv8cewzos448fw4u06civn29	rd_np		10	50	NA	"0,0,5,15,30,30,15,5,0,0"	1	125_175_175_175_225_225_225_225_225_225_275_275_275_275_275_275_325_325_325_375	recall
h35kotire8bzdsharpiq3q5midhrzlybesulyh7esk6gioogvi	rd_np		10	50	NA	"0,0,0,5,45,45,5,0,0,0"	1	175_225_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_275_325	recall
o2f1vxgzqkysnyiz3siiqw7b9zvzt46n53pfqwpd2j9e75jyvi	rd_np		10	50	NA	"0,0,0,10,15,20,30,25,0,0"	1	175_175_225_225_225_275_275_275_275_325_325_325_325_325_325_375_375_375_375_375	recall
h29vof1alm8hvb3jif6r1x7iwjlzbiw88koqytjvjwcdi	rd_np		10	50	NA	"0,0,0,5,45,45,5,0,0,0"	1	175_225_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_275_325	recall
k9km6107he1xd7d5zatwt57b9gm58ss7ehd7f4trng9ha7nwmi	rd_np		10	50	NA	"10,10,5,10,10,10,15,10,10,10"	1	25_25_75_75_125_175_175_225_225_275_275_325_325_325_375_375_425_425_475_475	recall
hf59h2ugwo5nfrlmjwtztcsorcbdlptve69mnkrkdd2s05dn29	rd_np		10	50	NA	"0,0,0,5,45,45,5,0,0,0"	1	175_225_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_275_325	recall
3lyk7dnamieelkj1xamw2vs4i229nm6ktkmubfi8c2zftuik9	rd_np		10	50	NA	"0,0,0,10,40,40,10,0,0,0"	1	175_175_225_225_225_225_225_225_225_225_275_275_275_275_275_275_275_275_325_325	recall
mi3j4ethauizw7bueda2it3xr3vn05l7rw2tyx5q8bycunxw29	rd_np		10	50	NA	"0,0,15,20,30,20,15,0,0,0"	1	125_125_125_175_175_175_175_225_225_225_225_225_225_275_275_275_275_325_325_325	recall
53g4jtxy00j59d2svuysjxajoravqqbmc9h3xg1o3f54su4n29	rd_np		10	50	NA	"0,5,5,10,30,30,10,5,5,0"	1	75_125_175_175_225_225_225_225_225_225_275_275_275_275_275_275_325_325_375_425	recall
2zadihekbwv7fj6v7k5jexw295e2f2n7hkm0a6u826ar9221emi	rd_np		10	50	NA	"5,5,15,20,25,30,0,0,0,0"	1	25_75_125_125_125_175_175_175_175_225_225_225_225_225_275_275_275_275_275_275	recall
3vmy2k8jz99376soei3bygy14i01rnde1insrhr42igm12ygy14i	rd_np		10	50	NA	"0,0,0,15,35,35,15,0,0,0"	1	175_175_175_225_225_225_225_225_225_225_275_275_275_275_275_275_275_325_325_325	recall
2fech1aj7pmk52qr8mp0jurf6rbb1mrip90q8miud92c50l766r	rd_np		10	50	NA	"5,5,5,10,15,25,15,10,5,5"	1	25_75_125_175_175_225_225_225_275_275_275_275_275_325_325_325_375_375_425_475	recall
